单元,中文片名,英文片名,导演,制片国/地区,时长,日期,放映时间,影院,影厅,影院地址,见面会
世界万象,适合我的酒店,THE HOTEL OF MY DREAM,堤幸彦,日本,99分钟,6月13日,15:30,曹杨影城,1号4K激光厅,普陀区兰溪路125号2楼,
世界万象,适合我的酒店,THE HOTEL OF MY DREAM,堤幸彦,日本,99分钟,6月16日,13:00,天山电影院-宛平剧院影城,1号厅,徐汇区中山南二路859号,
世界万象,适合我的酒店,THE HOTEL OF MY DREAM,堤幸彦,日本,99分钟,6月17日,15:30,天山电影院-虹桥艺术中心旗舰店,剧院厅,长宁区天山路888号,
世界万象,日落日出,SUNSET SUNRISE,岸善幸,日本,139分钟,6月13日,18:00,曹杨影城,1号4K激光厅,普陀区兰溪路125号2楼,
世界万象,日落日出,SUNSET SUNRISE,岸善幸,日本,139分钟,6月19日,18:00,天山电影院-虹桥艺术中心旗舰店,剧院厅,长宁区天山路888号,
世界万象,日落日出,SUNSET SUNRISE,岸善幸,日本,139分钟,6月21日,18:00,艺海剧院,大剧场,静安区江宁路466号,
华语新风,月光里的男孩,TASHI,达杰丁增,中国,104分钟,6月15日,18:00,上海影城SHO,9号厅REALD CINEMA,长宁区新华路160号,★
华语新风,月光里的男孩,TASHI,达杰丁增,中国,104分钟,6月16日,15:30,上海大光明电影院,2号厅,黄浦区南京西路216号,
华语新风,月光里的男孩,TASHI,达杰丁增,中国,104分钟,6月16日,18:30,SFC上影百联影城（八佰伴IMAX店）,2号厅,浦东新区张杨路501号10楼,
华语新风,月光里的男孩,TASHI,达杰丁增,中国,104分钟,6月17日,20:40,上海百丽宫影城（环贸iapm店）,激光6号厅,徐汇区淮海中路999号L6-601,
向大师致敬,野火 (4K),FIRES ON THE PLAIN (4K),市川昆,日本,104分钟,6月15日,18:30,沪北电影院,1号厅,静安区洛川东路500号,
向大师致敬,野火 (4K),FIRES ON THE PLAIN (4K),市川昆,日本,104分钟,6月17日,18:30,兰心大戏院,观众厅,黄浦区茂名南路57号,
向大师致敬,野火 (4K),FIRES ON THE PLAIN (4K),市川昆,日本,104分钟,6月19日,15:30,曹杨影城,1号4K激光厅,普陀区兰溪路125号2楼,
向大师致敬,野火 (4K),FIRES ON THE PLAIN (4K),市川昆,日本,104分钟,6月20日,13:00,和平影都,杜比全景声厅,黄浦区西藏中路290号,
向大师致敬,野火 (4K),FIRES ON THE PLAIN (4K),市川昆,日本,104分钟,6月21日,18:30,久事·上海商城剧院,剧院正厅,南京西路1376号4楼,
向大师致敬,细雪,THE MAKIOKA SISTERS,市川昆,日本,120分钟,6月14日,15:30,天山电影院-虹桥艺术中心旗舰店,剧院厅,长宁区天山路888号,
向大师致敬,细雪,THE MAKIOKA SISTERS,市川昆,日本,120分钟,6月14日,15:30,艺海剧院,大剧场,静安区江宁路466号,
向大师致敬,细雪,THE MAKIOKA SISTERS,市川昆,日本,120分钟,6月15日,15:30,上海影城SHO,1号厅杜比剧场,长宁区新华路160号,
向大师致敬,细雪,THE MAKIOKA SISTERS,市川昆,日本,120分钟,6月18日,15:30,久事·上海商城剧院,剧院正厅,南京西路1376号4楼,
向大师致敬,细雪,THE MAKIOKA SISTERS,市川昆,日本,120分钟,6月21日,15:30,上海大光明电影院,1号厅,黄浦区南京西路216号,
金爵参赛片,女儿,THE DAUGHTER,普里亚·卡卡文德,伊朗,97分钟,6月16日,20:40,上海影城SHO,2号厅Onyx,长宁区新华路160号,★
金爵参赛片,女儿,THE DAUGHTER,普里亚·卡卡文德,伊朗,97分钟,6月20日,18:30,国泰电影院,2号厅,黄浦区淮海中路870号,
金爵参赛片,女儿,THE DAUGHTER,普里亚·卡卡文德,伊朗,97分钟,6月22日,20:40,上海大光明电影院,3号厅,黄浦区南京西路216号,
世界万象,死亡将至 (4K),DEATH WILL COME (4K),克里斯托夫·霍赫豪斯勒,"德国,卢森堡,比利时",102分钟,6月13日,20:40,上海百丽宫影城（长宁来福士店）,激光3号厅,长宁区长宁路1123号七层701-703,
世界万象,死亡将至 (4K),DEATH WILL COME (4K),克里斯托夫·霍赫豪斯勒,"德国,卢森堡,比利时",102分钟,6月16日,20:40,佰映三克映画,LUXE厅,静安区江宁路699号MOHO Mall地下1层 60B,
世界万象,死亡将至 (4K),DEATH WILL COME (4K),克里斯托夫·霍赫豪斯勒,"德国,卢森堡,比利时",102分钟,6月17日,20:40,SFC上影影城（国华广场店）,1号LUXE厅,杨浦区三门路99号415室,
世界万象,死亡将至 (4K),DEATH WILL COME (4K),克里斯托夫·霍赫豪斯勒,"德国,卢森堡,比利时",102分钟,6月21日,20:40,CMG融媒影城,4号厅（4K激光）,徐汇区龙文路19号1-4层,
官方推荐,花见,HANAMI,德尼·费尔南德斯,"葡萄牙,瑞士,佛得角",96分钟,6月14日,18:30,和平影都,8号激光巨幕厅,黄浦区西藏中路290号,
官方推荐,花见,HANAMI,德尼·费尔南德斯,"葡萄牙,瑞士,佛得角",96分钟,6月15日,18:30,上海科技影城,3号厅,黄浦区南昌路59号3楼,
官方推荐,花见,HANAMI,德尼·费尔南德斯,"葡萄牙,瑞士,佛得角",96分钟,6月19日,20:40,SFC上影影城（国华广场店）,1号LUXE厅,杨浦区三门路99号415室,
“一带一路”电影周,课业启示录,LESSON LEARNED,巴林特·茨姆勒,匈牙利,120分钟,6月15日,15:30,上海百丽宫影城（长宁来福士店）,激光3号厅,长宁区长宁路1123号七层701-703,
“一带一路”电影周,课业启示录,LESSON LEARNED,巴林特·茨姆勒,匈牙利,120分钟,6月17日,18:00,上海百丽宫影城（陆家嘴中心店）,LUXE厅,浦东新区浦东南路889号陆家嘴中心商场10层L1001单元,★
“一带一路”电影周,课业启示录,LESSON LEARNED,巴林特·茨姆勒,匈牙利,120分钟,6月18日,20:40,寰映影城（久光中心店）,3号厅,静安区共和新路2188号久光中心5楼,
“一带一路”电影周,课业启示录,LESSON LEARNED,巴林特·茨姆勒,匈牙利,120分钟,6月20日,20:40,SFC上影百联影城（八佰伴IMAX店）,2号厅,浦东新区张杨路501号10楼,
“一带一路”电影周,课业启示录,LESSON LEARNED,巴林特·茨姆勒,匈牙利,120分钟,6月21日,15:30,国泰电影院,2号厅,黄浦区淮海中路870号,
“一带一路”电影周,课业启示录,LESSON LEARNED,巴林特·茨姆勒,匈牙利,120分钟,6月22日,15:30,CMG融媒影城,8号厅（杜比全景声CINITY）,徐汇区龙文路19号1-4层,
 SIFF纪录,她心的渴望,A WANT IN HER,米里德·卡滕,"爱尔兰,英国,荷兰",81分钟,6月15日,18:30,SFC上影影城（丁香路LUXE店）,5号LUXE巨幕厅,浦东新区丁香路858号3楼,
 SIFF纪录,她心的渴望,A WANT IN HER,米里德·卡滕,"爱尔兰,英国,荷兰",81分钟,6月18日,18:30,上海科技影城,3号厅,黄浦区南昌路59号3楼,
 SIFF纪录,她心的渴望,A WANT IN HER,米里德·卡滕,"爱尔兰,英国,荷兰",81分钟,6月20日,18:30,寰映影城（久光中心店）,3号厅,静安区共和新路2188号久光中心5楼,
 SIFF纪录,她心的渴望,A WANT IN HER,米里德·卡滕,"爱尔兰,英国,荷兰",81分钟,6月21日,10:30,朵云轩杜比全景声影城,1号厅,徐汇区天钥桥路1188号5楼,
官方推荐,昨日青春 (4K),HAPPYEND (4K),空音央,"日本,美国",113分钟,6月13日,15:30,UME影城（上海新天地店）,Onyx 4K LED巨幕厅,黄浦区兴业路123弄6号楼新天地时尚I座5楼,
官方推荐,昨日青春 (4K),HAPPYEND (4K),空音央,"日本,美国",113分钟,6月16日,15:30,天山电影院-宛平剧院影城,1号厅,徐汇区中山南二路859号,
官方推荐,昨日青春 (4K),HAPPYEND (4K),空音央,"日本,美国",113分钟,6月19日,15:30,沪北电影院,1号厅,静安区洛川东路500号,
官方推荐,昨日青春 (4K),HAPPYEND (4K),空音央,"日本,美国",113分钟,6月20日,15:30,上海大光明电影院,1号厅,黄浦区南京西路216号,
官方推荐,昨日青春 (4K),HAPPYEND (4K),空音央,"日本,美国",113分钟,6月21日,15:30,久事·上海商城剧院,剧院正厅,南京西路1376号4楼,
世界万象,与鬼怪们的平静生活,STILL LIFE WITH GHOSTS,恩里克·布利奥,西班牙,87分钟,6月17日,18:30,上海百丽宫影城（长宁来福士店）,激光3号厅,长宁区长宁路1123号七层701-703,
世界万象,与鬼怪们的平静生活,STILL LIFE WITH GHOSTS,恩里克·布利奥,西班牙,87分钟,6月18日,18:30,CMG融媒影城,4号厅（4K激光）,徐汇区龙文路19号1-4层,
世界万象,与鬼怪们的平静生活,STILL LIFE WITH GHOSTS,恩里克·布利奥,西班牙,87分钟,6月19日,18:30,CGV影城（白玉兰广场IMAX店）,8号厅,虹口区东长治路588号上海白玉兰广场商业裙房3层11号铺位,
世界万象,与鬼怪们的平静生活,STILL LIFE WITH GHOSTS,恩里克·布利奥,西班牙,87分钟,6月21日,20:40,SFC上影百联影城（八佰伴IMAX店）,2号厅,浦东新区张杨路501号10楼,
世界万象,在我父母家,IN MY PARENTS’ HOUSE,蒂姆·艾尔里奇,德国,96分钟,6月14日,20:40,上海大光明电影院,3号厅,黄浦区南京西路216号,
世界万象,在我父母家,IN MY PARENTS’ HOUSE,蒂姆·艾尔里奇,德国,96分钟,6月21日,18:30,上海百丽宫影城（长宁来福士店）,激光3号厅,长宁区长宁路1123号七层701-703,
世界万象,在我父母家,IN MY PARENTS’ HOUSE,蒂姆·艾尔里奇,德国,96分钟,6月22日,20:40,国泰电影院,2号厅,黄浦区淮海中路870号,
多元视角,阿利·普里梅拉 (4K),ALI PRIMERA (4K),丹尼尔·耶格雷斯·里查德,委内瑞拉,127分钟,6月13日,20:40,上海大光明电影院,2号厅,黄浦区南京西路216号,
多元视角,阿利·普里梅拉 (4K),ALI PRIMERA (4K),丹尼尔·耶格雷斯·里查德,委内瑞拉,127分钟,6月14日,15:30,CMG融媒影城,8号厅（杜比全景声CINITY）,徐汇区龙文路19号1-4层,
多元视角,阿利·普里梅拉 (4K),ALI PRIMERA (4K),丹尼尔·耶格雷斯·里查德,委内瑞拉,127分钟,6月20日,20:40,上海百丽宫影城（陆家嘴中心店）,LUXE厅,浦东新区浦东南路889号陆家嘴中心商场10层L1001单元,
多元视角,阿利·普里梅拉 (4K),ALI PRIMERA (4K),丹尼尔·耶格雷斯·里查德,委内瑞拉,127分钟,6月21日,15:30,上海百美汇影城（静安嘉里中心店）,4K激光1号厅,静安区南京西路1551号嘉里中心N4-01,★
多元视角,阿利·普里梅拉 (4K),ALI PRIMERA (4K),丹尼尔·耶格雷斯·里查德,委内瑞拉,127分钟,6月22日,15:30,SFC上影影城（LaLaport上海金桥店）,1号LUXE 杜比全景声厅,浦东新区新金桥路738号啦啦宝都611号店铺,
多元视角,雪鹤之母 (4K),MOTHER OF SNOW CRANES (4K),伊丽丝·海尔迈,芬兰,78分钟,6月16日,13:00,朵云轩杜比全景声影城,1号厅,徐汇区天钥桥路1188号5楼,
多元视角,雪鹤之母 (4K),MOTHER OF SNOW CRANES (4K),伊丽丝·海尔迈,芬兰,78分钟,6月17日,18:30,SFC上影影城（国华广场店）,1号LUXE厅,杨浦区三门路99号415室,
多元视角,雪鹤之母 (4K),MOTHER OF SNOW CRANES (4K),伊丽丝·海尔迈,芬兰,78分钟,6月22日,18:30,上海百美汇影城（静安嘉里中心店）,4K激光1号厅,静安区南京西路1551号嘉里中心N4-01,
今日亚洲,父罪清算,ZHAZA,达尔汗·图勒格诺夫,哈萨克斯坦,90分钟,6月13日,18:30,CGV影城（白玉兰广场IMAX店）,8号厅,虹口区东长治路588号上海白玉兰广场商业裙房3层11号铺位,
今日亚洲,父罪清算,ZHAZA,达尔汗·图勒格诺夫,哈萨克斯坦,90分钟,6月17日,18:30,上海科技影城,3号厅,黄浦区南昌路59号3楼,
今日亚洲,父罪清算,ZHAZA,达尔汗·图勒格诺夫,哈萨克斯坦,90分钟,6月20日,18:30,上海大光明电影院,2号厅,黄浦区南京西路216号,
多元视角,逃离人间,ESCAPE,罗德里戈·科尔特斯,西班牙,129分钟,6月13日,20:40,上海百丽宫影城（长宁来福士店）,LUXE激光巨幕厅,长宁区长宁路1123号七层701-703,
多元视角,逃离人间,ESCAPE,罗德里戈·科尔特斯,西班牙,129分钟,6月14日,13:00,和平影都,8号激光巨幕厅,黄浦区西藏中路290号,
多元视角,逃离人间,ESCAPE,罗德里戈·科尔特斯,西班牙,129分钟,6月21日,15:30,SFC上影影城（LaLaport上海金桥店）,1号LUXE 杜比全景声厅,浦东新区新金桥路738号啦啦宝都611号店铺,
多元视角,逃离人间,ESCAPE,罗德里戈·科尔特斯,西班牙,129分钟,6月22日,15:30,CMG融媒影城,4号厅（4K激光）,徐汇区龙文路19号1-4层,
多元视角,她的卧底生涯 (4K),UNDERCOVER (4K),阿兰查·艾奇瓦莉亚,西班牙,119分钟,6月14日,20:40,和平影都,8号激光巨幕厅,黄浦区西藏中路290号,
多元视角,她的卧底生涯 (4K),UNDERCOVER (4K),阿兰查·艾奇瓦莉亚,西班牙,119分钟,6月18日,20:40,SFC上影影城（港汇永华IMAX激光店）,Onyx LED厅,徐汇区虹桥路1号6层616/6M01,
多元视角,她的卧底生涯 (4K),UNDERCOVER (4K),阿兰查·艾奇瓦莉亚,西班牙,119分钟,6月20日,20:40,佰映三克映画,LUXE厅,静安区江宁路699号MOHO Mall地下1层 60B,
多元视角,她的卧底生涯 (4K),UNDERCOVER (4K),阿兰查·艾奇瓦莉亚,西班牙,119分钟,6月21日,20:40,天山电影院-虹桥艺术中心旗舰店,4号厅,长宁区天山路888号,
“一带一路”电影周,科琳娜 (4K),CORINA (4K),乌尔祖拉·巴巴·霍普夫纳,墨西哥,99分钟,6月13日,15:30,国泰电影院,2号厅,黄浦区淮海中路870号,
“一带一路”电影周,科琳娜 (4K),CORINA (4K),乌尔祖拉·巴巴·霍普夫纳,墨西哥,99分钟,6月14日,20:40,上海大光明电影院,2号厅,黄浦区南京西路216号,
“一带一路”电影周,科琳娜 (4K),CORINA (4K),乌尔祖拉·巴巴·霍普夫纳,墨西哥,99分钟,6月15日,20:40,上海百丽宫影城（长宁来福士店）,LUXE激光巨幕厅,长宁区长宁路1123号七层701-703,
“一带一路”电影周,科琳娜 (4K),CORINA (4K),乌尔祖拉·巴巴·霍普夫纳,墨西哥,99分钟,6月16日,18:00,上海百丽宫影城（陆家嘴中心店）,LUXE厅,浦东新区浦东南路889号陆家嘴中心商场10层L1001单元,★
“一带一路”电影周,科琳娜 (4K),CORINA (4K),乌尔祖拉·巴巴·霍普夫纳,墨西哥,99分钟,6月18日,18:30,世纪友谊影城（LUXE南方商城店）,6号LUXE巨幕厅,闵行区沪闵路7250号百联南方二期9楼,
 SIFF纪录,姊妹之歌,A SISTERS' TALE,莱拉·阿米尼,"瑞士,伊朗,法国",94分钟,6月15日,13:00,上海百丽宫影城（长宁来福士店）,激光3号厅,长宁区长宁路1123号七层701-703,
 SIFF纪录,姊妹之歌,A SISTERS' TALE,莱拉·阿米尼,"瑞士,伊朗,法国",94分钟,6月16日,18:30,SFC上影影城（国华广场店）,1号LUXE厅,杨浦区三门路99号415室,
 SIFF纪录,姊妹之歌,A SISTERS' TALE,莱拉·阿米尼,"瑞士,伊朗,法国",94分钟,6月19日,15:30,朵云轩杜比全景声影城,1号厅,徐汇区天钥桥路1188号5楼,
 SIFF纪录,姊妹之歌,A SISTERS' TALE,莱拉·阿米尼,"瑞士,伊朗,法国",94分钟,6月21日,18:30,上海大光明电影院,3号厅,黄浦区南京西路216号,
宝格丽经典呈现·光影艺术传奇,水与糖：摄影家卡洛·迪·帕尔马的生活与色彩,WATER AND SUGAR,法里鲍兹·坎卡里,意大利,91分钟,6月13日,18:30,SFC上影影城（丁香路LUXE店）,5号LUXE巨幕厅,浦东新区丁香路858号3楼,
宝格丽经典呈现·光影艺术传奇,水与糖：摄影家卡洛·迪·帕尔马的生活与色彩,WATER AND SUGAR,法里鲍兹·坎卡里,意大利,91分钟,6月14日,18:30,万达影城（五角场万达广场店）,11号厅,杨浦区国宾路58号五角场万达商业广场3层,
宝格丽经典呈现·光影艺术传奇,水与糖：摄影家卡洛·迪·帕尔马的生活与色彩,WATER AND SUGAR,法里鲍兹·坎卡里,意大利,91分钟,6月15日,18:30,朵云轩杜比全景声影城,1号厅,徐汇区天钥桥路1188号5楼,
宝格丽经典呈现·光影艺术传奇,水与糖：摄影家卡洛·迪·帕尔马的生活与色彩,WATER AND SUGAR,法里鲍兹·坎卡里,意大利,91分钟,6月17日,18:30,星轶STARX影剧院（上海宝山日月光店）,5号厅,宝山区沪太路1933号宝山日月光中心2层K区202,
宝格丽经典呈现·光影艺术传奇,水与糖：摄影家卡洛·迪·帕尔马的生活与色彩,WATER AND SUGAR,法里鲍兹·坎卡里,意大利,91分钟,6月18日,18:30,寰映影城（久光中心店）,3号厅,静安区共和新路2188号久光中心5楼,
宝格丽经典呈现·光影艺术传奇,放大 (4K),BLOW-UP (4K),米开朗基罗·安东尼奥尼,"英国,意大利",112分钟,6月13日,20:40,兰心大戏院,观众厅,黄浦区茂名南路57号,
宝格丽经典呈现·光影艺术传奇,放大 (4K),BLOW-UP (4K),米开朗基罗·安东尼奥尼,"英国,意大利",112分钟,6月15日,20:40,和平影都,杜比全景声厅,黄浦区西藏中路290号,
宝格丽经典呈现·光影艺术传奇,放大 (4K),BLOW-UP (4K),米开朗基罗·安东尼奥尼,"英国,意大利",112分钟,6月19日,20:40,上海影城SHO,1号厅杜比剧场,长宁区新华路160号,
宝格丽经典呈现·光影艺术传奇,放大 (4K),BLOW-UP (4K),米开朗基罗·安东尼奥尼,"英国,意大利",112分钟,6月20日,20:40,曹杨影城,1号4K激光厅,普陀区兰溪路125号2楼,
宝格丽经典呈现·光影艺术传奇,放大 (4K),BLOW-UP (4K),米开朗基罗·安东尼奥尼,"英国,意大利",112分钟,6月21日,20:40,天山电影院-宛平剧院影城,1号厅,徐汇区中山南二路859号,
宝格丽经典呈现·光影艺术传奇,放大 (4K),BLOW-UP (4K),米开朗基罗·安东尼奥尼,"英国,意大利",112分钟,6月22日,20:40,UME影城（上海新天地店）,Onyx 4K LED巨幕厅,黄浦区兴业路123弄6号楼新天地时尚I座5楼,
宝格丽经典呈现·光影艺术传奇,红色沙漠 (4K),RED DESERT (4K),米开朗基罗·安东尼奥尼,"意大利,法国",117分钟,6月21日,13:00,兰心大戏院,观众厅,黄浦区茂名南路57号,
宝格丽经典呈现·光影艺术传奇,解构爱情狂,DECONSTRUCTING HARRY,伍迪·艾伦,美国,92分钟,6月13日,20:40,UME影城（上海新天地店）,Onyx 4K LED巨幕厅,黄浦区兴业路123弄6号楼新天地时尚I座5楼,
宝格丽经典呈现·光影艺术传奇,解构爱情狂,DECONSTRUCTING HARRY,伍迪·艾伦,美国,92分钟,6月15日,20:40,上海大光明电影院,1号厅,黄浦区南京西路216号,
宝格丽经典呈现·光影艺术传奇,解构爱情狂,DECONSTRUCTING HARRY,伍迪·艾伦,美国,92分钟,6月16日,20:40,曹杨影城,1号4K激光厅,普陀区兰溪路125号2楼,
宝格丽经典呈现·光影艺术传奇,解构爱情狂,DECONSTRUCTING HARRY,伍迪·艾伦,美国,92分钟,6月17日,20:40,沪北电影院,1号厅,静安区洛川东路500号,
宝格丽经典呈现·光影艺术传奇,解构爱情狂,DECONSTRUCTING HARRY,伍迪·艾伦,美国,92分钟,6月18日,20:40,上海影城SHO,1号厅杜比剧场,长宁区新华路160号,
宝格丽经典呈现·光影艺术传奇,解构爱情狂,DECONSTRUCTING HARRY,伍迪·艾伦,美国,92分钟,6月19日,20:40,天山电影院-虹桥艺术中心旗舰店,剧院厅,长宁区天山路888号,
宝格丽经典呈现·光影艺术传奇,解构爱情狂,DECONSTRUCTING HARRY,伍迪·艾伦,美国,92分钟,6月22日,20:40,CMG融媒影城,8号厅（杜比全景声CINITY）,徐汇区龙文路19号1-4层,
宝格丽经典呈现·光影艺术传奇,子弹横飞百老汇,BULLETS OVER BROADWAY,伍迪·艾伦,美国,99分钟,6月15日,20:40,UME影城（上海新天地店）,Onyx 4K LED巨幕厅,黄浦区兴业路123弄6号楼新天地时尚I座5楼,
宝格丽经典呈现·光影艺术传奇,子弹横飞百老汇,BULLETS OVER BROADWAY,伍迪·艾伦,美国,99分钟,6月16日,18:30,曹杨影城,1号4K激光厅,普陀区兰溪路125号2楼,
宝格丽经典呈现·光影艺术传奇,子弹横飞百老汇,BULLETS OVER BROADWAY,伍迪·艾伦,美国,99分钟,6月17日,18:30,沪北电影院,1号厅,静安区洛川东路500号,
宝格丽经典呈现·光影艺术传奇,子弹横飞百老汇,BULLETS OVER BROADWAY,伍迪·艾伦,美国,99分钟,6月18日,18:30,上海影城SHO,1号厅杜比剧场,长宁区新华路160号,
宝格丽经典呈现·光影艺术传奇,子弹横飞百老汇,BULLETS OVER BROADWAY,伍迪·艾伦,美国,99分钟,6月19日,13:00,天山电影院-虹桥艺术中心旗舰店,剧院厅,长宁区天山路888号,
宝格丽经典呈现·光影艺术传奇,子弹横飞百老汇,BULLETS OVER BROADWAY,伍迪·艾伦,美国,99分钟,6月20日,15:30,兰心大戏院,观众厅,黄浦区茂名南路57号,
宝格丽经典呈现·光影艺术传奇,子弹横飞百老汇,BULLETS OVER BROADWAY,伍迪·艾伦,美国,99分钟,6月21日,18:30,上海大光明电影院,1号厅,黄浦区南京西路216号,
官方推荐,第二次机会,SECOND CHANCE,苏巴德拉·马哈詹,印度,104分钟,6月15日,20:40,CGV影城（白玉兰广场IMAX店）,8号厅,虹口区东长治路588号上海白玉兰广场商业裙房3层11号铺位,
官方推荐,第二次机会,SECOND CHANCE,苏巴德拉·马哈詹,印度,104分钟,6月16日,18:30,上海大光明电影院,3号厅,黄浦区南京西路216号,
官方推荐,第二次机会,SECOND CHANCE,苏巴德拉·马哈詹,印度,104分钟,6月17日,18:30,佰映三克映画,LUXE厅,静安区江宁路699号MOHO Mall地下1层 60B,
官方推荐,第二次机会,SECOND CHANCE,苏巴德拉·马哈詹,印度,104分钟,6月21日,20:40,上海百美汇影城（静安嘉里中心店）,4K激光1号厅,静安区南京西路1551号嘉里中心N4-01,
“一带一路”电影周,鳄鱼泪,CROCODILE TEARS,图帕尔·坦普波隆,"印度尼西亚,法国,新加坡,德国",98分钟,6月17日,18:30,SFC上影影城（丁香路LUXE店）,5号LUXE巨幕厅,浦东新区丁香路858号3楼,
“一带一路”电影周,鳄鱼泪,CROCODILE TEARS,图帕尔·坦普波隆,"印度尼西亚,法国,新加坡,德国",98分钟,6月20日,18:30,上海大光明电影院,3号厅,黄浦区南京西路216号,
“一带一路”电影周,鳄鱼泪,CROCODILE TEARS,图帕尔·坦普波隆,"印度尼西亚,法国,新加坡,德国",98分钟,6月21日,18:30,AMG海上明珠影城环球港店,RealD 7号厅,普陀区中山北路3300号环球港L4039,
官方推荐,爱的暂停键,LOVEABLE,莉莉娅·英戈尔夫斯多蒂尔,挪威,100分钟,6月13日,18:30,国泰电影院,2号厅,黄浦区淮海中路870号,
官方推荐,爱的暂停键,LOVEABLE,莉莉娅·英戈尔夫斯多蒂尔,挪威,100分钟,6月14日,10:30,上海影城SHO,3号厅CINITY,长宁区新华路160号,
官方推荐,爱的暂停键,LOVEABLE,莉莉娅·英戈尔夫斯多蒂尔,挪威,100分钟,6月15日,15:30,万达影城（五角场万达广场店）,11号厅,杨浦区国宾路58号五角场万达商业广场3层,
官方推荐,爱的暂停键,LOVEABLE,莉莉娅·英戈尔夫斯多蒂尔,挪威,100分钟,6月17日,15:30,上海百丽宫影城（万象城店）,CINITY LUXE巨幕厅,闵行区吴中路1599号L501商铺,
官方推荐,爱的暂停键,LOVEABLE,莉莉娅·英戈尔夫斯多蒂尔,挪威,100分钟,6月18日,18:30,星轶STARX影剧院（上海宝山日月光店）,5号厅,宝山区沪太路1933号宝山日月光中心2层K区202,
官方推荐,幻嗅,PHANTOSMIA,拉夫·迪亚兹,菲律宾,246分钟,6月14日,18:30,黄浦剧场,中剧场,黄浦区北京东路780号,
官方推荐,幻嗅,PHANTOSMIA,拉夫·迪亚兹,菲律宾,246分钟,6月18日,13:00,上海百丽宫影城（万象城店）,CINITY LUXE巨幕厅,闵行区吴中路1599号L501商铺,
官方推荐,幻嗅,PHANTOSMIA,拉夫·迪亚兹,菲律宾,246分钟,6月22日,13:00,兰心大戏院,观众厅,黄浦区茂名南路57号,
今日亚洲,遗憾地在黎明时分,REGRETFULLY AT DAWN,西瓦罗·孔萨库,"泰国,新加坡",116分钟,6月17日,13:00,UME影城（上海新天地店）,Onyx 4K LED巨幕厅,黄浦区兴业路123弄6号楼新天地时尚I座5楼,
官方推荐,烟囱里的麻雀,THE SPARROW IN THE CHIMNEY,拉蒙·曲尔歇尔,瑞士,117分钟,6月13日,20:40,上海百美汇影城（静安嘉里中心店）,4K激光1号厅,静安区南京西路1551号嘉里中心N4-01,
官方推荐,烟囱里的麻雀,THE SPARROW IN THE CHIMNEY,拉蒙·曲尔歇尔,瑞士,117分钟,6月14日,15:30,上海百丽宫影城（长宁来福士店）,激光3号厅,长宁区长宁路1123号七层701-703,
官方推荐,烟囱里的麻雀,THE SPARROW IN THE CHIMNEY,拉蒙·曲尔歇尔,瑞士,117分钟,6月22日,15:30,CGV影城（白玉兰广场IMAX店）,8号厅,虹口区东长治路588号上海白玉兰广场商业裙房3层11号铺位,
官方推荐,德黑兰故事,BOOMERANG,谢哈布·福图希,"伊朗,德国",83分钟,6月13日,18:30,AMG海上明珠影城环球港店,RealD 7号厅,普陀区中山北路3300号环球港L4039,
官方推荐,德黑兰故事,BOOMERANG,谢哈布·福图希,"伊朗,德国",83分钟,6月16日,15:30,上海大光明电影院,3号厅,黄浦区南京西路216号,
官方推荐,德黑兰故事,BOOMERANG,谢哈布·福图希,"伊朗,德国",83分钟,6月20日,20:40,SFC上影影城（国华广场店）,1号LUXE厅,杨浦区三门路99号415室,
特别策划,爱玛 (2020),EMMA (2020),奥特姆·代·怀尔德,"英国,中国,美国",125分钟,6月15日,15:30,上海百丽宫影城（万象城店）,CINITY LUXE巨幕厅,闵行区吴中路1599号L501商铺,
特别策划,爱玛 (2020),EMMA (2020),奥特姆·代·怀尔德,"英国,中国,美国",125分钟,6月17日,15:30,沪北电影院,1号厅,静安区洛川东路500号,
特别策划,爱玛 (2020),EMMA (2020),奥特姆·代·怀尔德,"英国,中国,美国",125分钟,6月18日,15:30,UME影城（上海新天地店）,Onyx 4K LED巨幕厅,黄浦区兴业路123弄6号楼新天地时尚I座5楼,
特别策划,爱玛 (2020),EMMA (2020),奥特姆·代·怀尔德,"英国,中国,美国",125分钟,6月19日,13:00,兰心大戏院,观众厅,黄浦区茂名南路57号,
特别策划,爱玛 (2020),EMMA (2020),奥特姆·代·怀尔德,"英国,中国,美国",125分钟,6月20日,15:30,艺海剧院,大剧场,静安区江宁路466号,
特别策划,爱玛 (2020),EMMA (2020),奥特姆·代·怀尔德,"英国,中国,美国",125分钟,6月21日,15:30,世纪友谊影城（LUXE南方商城店）,6号LUXE巨幕厅,闵行区沪闵路7250号百联南方二期9楼,
特别策划,独领风骚 (4K),CLUELESS (4K),艾米·海克林,美国,97分钟,6月14日,18:30,CMG融媒影城,8号厅（杜比全景声CINITY）,徐汇区龙文路19号1-4层,
特别策划,独领风骚 (4K),CLUELESS (4K),艾米·海克林,美国,97分钟,6月15日,18:30,上海百丽宫影城（陆家嘴中心店）,LUXE厅,浦东新区浦东南路889号陆家嘴中心商场10层L1001单元,
特别策划,独领风骚 (4K),CLUELESS (4K),艾米·海克林,美国,97分钟,6月17日,13:00,沪北电影院,1号厅,静安区洛川东路500号,
特别策划,独领风骚 (4K),CLUELESS (4K),艾米·海克林,美国,97分钟,6月18日,18:30,兰心大戏院,观众厅,黄浦区茂名南路57号,
